INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,FILE_NUMBER,lon,lat
Break and Enter - Business,11000 124TH ST,1,2020,20-680,-122.878468,49.20219669999999
Break and Enter - Business,13900 104TH AVE,1,2020,20-1128,-122.8369327,49.19122
Break and Enter - Business,11100 SCOTT RD,1,2020,20-1173,-122.8775273,49.20328840000001
Break and Enter - Business,10500 UNIVERSITY DR,1,2020,20-1191,-122.850623,49.193487
Break and Enter - Business,10400 138TH ST,1,2020,20-1298,-122.8375197,49.1503782
Break and Enter - Business,10300 CITY PKWY,1,2020,20-1749,-122.8476923,49.1898126
Break and Enter - Business,13600 105TH AVE,1,2020,20-2221,-122.846102,49.1930081
Break and Enter - Business,10300 CITY PKWY,1,2020,20-2452,-122.8476923,49.1898126
Break and Enter - Business,12300 BLOCK MUSQUEAM DR,1,2020,20-2626,-122.8854672,49.20739409999999
Break and Enter - Business,10700 138TH ST,1,2020,20-2690,-122.8393974,49.1970261
INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,FILE_NUMBER,lon,lat
Break and Enter - Business,12900 115TH AVE,1,2020,20-3188,-122.8623448,49.2112303
Break and Enter - Business,10400 138TH ST,1,2020,20-3244,-122.8375197,49.1503782
Break and Enter - Business,12600 110TH AVE,1,2020,20-3475,-122.8729642,49.202262
Break and Enter - Business,10400 138TH ST,1,2020,20-3665,-122.8375197,49.1503782
Break and Enter - Business,10800 CITY PKWY,1,2020,20-3697,-122.8487967,49.1989026
Break and Enter - Business,13500 106TH AVE,1,2020,20-3708,-122.8479065,49.19502019999999
Break and Enter - Business,10500 UNIVERSITY DR,1,2020,20-3804,-122.850623,49.193487
Break and Enter - Business,10200 133RD ST,1,2020,20-4133,-122.8540439,49.18798169999999
Break and Enter - Business,13600 100TH AVE,1,2020,20-6072,-122.8454059,49.1842491
Break and Enter - Business,11800 103A AVE,1,2020,20-6673,-122.8972328,49.1916054
Break and Enter - Business,10600 140TH ST,1,2020,20-6780,-122.8341186,49.1951639
Break and Enter - Business,10500 140TH ST,1,2020,20-7464,-122.8337766,49.1933418
Break and Enter - Business,13600 100TH AVE,1,2020,20-8005,-122.8454059,49.1842491
Break and Enter - Business,13900 101ST AVE,1,2020,20-8144,-122.837189,49.1860376
Break and Enter - Business,13200 108TH AVE,1,2020,20-8292,-122.8564806,49.1989606
Break and Enter - Business,10800 CITY PKWY,1,2020,20-8334,-122.8487967,49.1989026
Break and Enter - Business,12300 PATTULLO PL,1,2020,20-8517,-122.8801156,49.2041957
Break and Enter - Business,13600 94A AVE,1,2020,20-9247,-122.8455084,49.1746777
Break and Enter - Business,11000 OLSEN RD,1,2020,20-9516,-122.8904729,49.2024807
Break and Enter - Business,10400 132ND ST,1,2020,20-9860,-122.8564403,49.1916291
